Registro,Region_residencia,Edad,género,Sector,Estado_Asistencia,Es_Organizador,"Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [1. Mitigación y Neutralidad de Emisiones de Gases de Efecto Invernadero (GEI)]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [2. Absorciones y Sumideros de Carbono]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [3. Vulnerabilidad, Impactos y Riesgos Climáticos]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [4. Adaptación y Resiliencia Climática]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [5. Soluciones basadas en la Naturaleza (SbN) y Funciones Ecosistémicas]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [6. Sistemas de Monitoreo, Reporte y Verificación (MRV)]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [7. Desarrollo y Transferencia de Tecnología Climática y generación de capacidades]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [8. Instrumentos de Precio y Mercado de Carbono]","Áreas de experiencia ECLP: Durante el evento realizaremos un ""Café Temático"" para debatir insumos sobre el borrador de la ECLP. Por favor, ordene las siguientes temáticas de mayor a menor según su área de experiencia (siendo 1 su área de mayor experiencia): [9. Institucionalidad y Gobernanza Climática]"
REG-166-FEME,Metropolitana de Santiago,36.0,Femenino,Sociedad civil,Asistió,False,,,,Segunda preferencia para participar,Temática de interés secundario,,,,Primera preferencia para participar
REG-167-FEVA,Valparaíso,41.0,Femenino,Academia,Asistió,False,Segunda preferencia para participar,,,Primera preferencia para participar,,,,,Temática de interés secundario
REG-168-FEME,Metropolitana de Santiago,37.0,Femenino,Otro,Asistió,False,,,,,Primera preferencia para participar,Segunda preferencia para participar,,,
REG-169-FEAN,Antofagasta,61.0,Masculino,Academia,Asistió,False,Segunda preferencia para participar,,,,,Temática de interés secundario,,,Primera preferencia para participar
REG-170-FEME,Metropolitana de Santiago,,,,No Asistió,False,,,,Segunda preferencia para participar,Primera preferencia para participar,,Temática de interés secundario,,
REG-171-FEME,Metropolitana de Santiago,,,,No Asistió,False,Primera preferencia para participar,,,,,Temática de interés secundario,,,Segunda preferencia para participar
REG-172-FIME,Metropolitana de Santiago,32.0,Femenino,Público,Asistió,False,Primera preferencia para participar,,,,,Segunda preferencia para participar,Temática de interés secundario,,
REG-173-FLME,Metropolitana de Santiago,36.0,Femenino,Privado,Asistió,False,,,Temática de interés secundario,Segunda preferencia para participar,,,Primera preferencia para participar,,
REG-174-FRME,Metropolitana de Santiago,,,,No Asistió,False,Primera preferencia para participar,,Segunda preferencia para participar,,,Temática de interés secundario,,,
REG-175-FRME,Metropolitana de Santiago,45.0,Femenino,Privado,Asistió,False,Segunda preferencia para participar,,,,,,,Temática de interés secundario,Primera preferencia para participar
REG-176-FRME,Metropolitana de Santiago,28.0,Femenino,Privado,Asistió,False,Primera preferencia para participar,,,Segunda preferencia para participar,Temática de interés secundario,,,,
REG-177-FRBI,Biobío,,,,No Asistió,False,,,Temática de interés secundario,,Primera preferencia para participar,,,,Segunda preferencia para participar
REG-178-FRBI,Biobío,36.0,Masculino,Academia,Asistió,False,Temática de interés secundario,Primera preferencia para participar,,,Segunda preferencia para participar,,,,
REG-179-FRVA,Valparaíso,,,,No Asistió,False,,,,,Segunda preferencia para participar,Primera preferencia para participar,Temática de interés secundario,,
REG-180-FRBI,Biobío,44.0,Masculino,Academia,Asistió,False,,,Temática de interés secundario,,Segunda preferencia para participar,Primera preferencia para participar,,,
REG-181-FRME,Metropolitana de Santiago,,,,No Asistió,False,Segunda preferencia para participar,Primera preferencia para participar,,,,,,,
REG-182-FRME,Metropolitana de Santiago,,,,No Asistió,False,,,,,,,,,
REG-183-FRME,Metropolitana de Santiago,45.0,Masculino,Academia,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,Temática de interés secundario,,
REG-184-FRME,Metropolitana de Santiago,,,,No Asistió,False,,,Temática de interés secundario,Segunda preferencia para participar,Primera preferencia para participar,,,,
REG-185-FRME,Metropolitana de Santiago,43.0,Masculino,Academia,Asistió,True,Primera preferencia para participar,Segunda preferencia para participar,,,,,Temática de interés secundario,,
REG-186-GAME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,Temática de interés secundario,,,,,Segunda preferencia para participar
REG-187-GAME,Metropolitana de Santiago,,,,No Asistió,False,Primera preferencia para participar,,,,,,,,
REG-188-GEME,Metropolitana de Santiago,,,,No Asistió,False,Temática de interés secundario,,,,,Segunda preferencia para participar,,Primera preferencia para participar,
REG-189-GEME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,Temática de interés secundario,,
REG-190-GEME,Metropolitana de Santiago,,,,No Asistió,False,Primera preferencia para participar,,Segunda preferencia para participar,,,,,,
REG-191-GEVA,Valparaíso,53.0,Masculino,Academia,Asistió,False,,,,Temática de interés secundario,Segunda preferencia para participar,,Primera preferencia para participar,,
REG-192-GIO',O'Higgins,,,,No Asistió,False,,,Segunda preferencia para participar,,,Primera preferencia para participar,,,Temática de interés secundario
REG-193-GLBI,Biobío,,Femenino,Academia,Asistió,True,,,,Segunda preferencia para participar,Temática de interés secundario,,Primera preferencia para participar,,
REG-194-GLME,Metropolitana de Santiago,,,,No Asistió,False,,,Temática de interés secundario,Segunda preferencia para participar,,,,,Primera preferencia para participar
REG-195-GUME,Metropolitana de Santiago,38.0,Masculino,Privado,Asistió,False,Segunda preferencia para participar,,,Temática de interés secundario,,,Primera preferencia para participar,,
REG-196-HÉVA,Valparaíso,,Masculino,Academia,Asistió,False,,,,Primera preferencia para participar,Segunda preferencia para participar,,Temática de interés secundario,,
REG-197-HEME,Metropolitana de Santiago,26.0,Masculino,Academia,Asistió,False,,Temática de interés secundario,Primera preferencia para participar,Segunda preferencia para participar,,,,,
REG-198-HEME,Metropolitana de Santiago,,Masculino,Público,Asistió,False,,,,,,,,,
REG-199-HOME,Metropolitana de Santiago,,,,No Asistió,False,Primera preferencia para participar,Segunda preferencia para participar,Temática de interés secundario,,,,,,
REG-200-HUMA,Maule,44.0,Masculino,Academia,Asistió,False,,,Segunda preferencia para participar,Temática de interés secundario,,,Primera preferencia para participar,,
REG-201-HULO,Los Ríos,71.0,Masculino,Academia,Asistió,False,,Primera preferencia para participar,Segunda preferencia para participar,,Temática de interés secundario,,,,
REG-202-HUME,Metropolitana de Santiago,,Masculino,Academia,Asistió,False,Segunda preferencia para participar,,,,,,Primera preferencia para participar,,Temática de interés secundario
REG-203-IGME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,,Primera preferencia para participar,,Temática de interés secundario,,
REG-204-IGME,Metropolitana de Santiago,36.0,Masculino,Público,Asistió,False,,,,Segunda preferencia para participar,Primera preferencia para participar,Temática de interés secundario,,,
REG-205-IRME,Metropolitana de Santiago,54.0,Femenino,Público,Asistió,False,,,,,,,,,
REG-206-ISME,Metropolitana de Santiago,,,,No Asistió,False,Primera preferencia para participar,,Segunda preferencia para participar,,Temática de interés secundario,,,,
REG-207-ISME,Metropolitana de Santiago,,,,No Asistió,False,,Segunda preferencia para participar,,Temática de interés secundario,,,,Primera preferencia para participar,
REG-208-IVMA,Maule,,Masculino,Academia,Asistió,False,,Temática de interés secundario,,,,Segunda preferencia para participar,Primera preferencia para participar,,
REG-209-IZME,Metropolitana de Santiago,,Femenino,Academia,Asistió,False,,,,Primera preferencia para participar,Segunda preferencia para participar,,Temática de interés secundario,,
REG-210-JAME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,,Temática de interés secundario,,
REG-211-JAME,Metropolitana de Santiago,44.0,Masculino,Público,Asistió,False,Primera preferencia para participar,,,,,Temática de interés secundario,,Segunda preferencia para participar,
REG-212-JAVA,Valparaíso,39.0,Masculino,Público,Asistió,False,,,,,Segunda preferencia para participar,,Temática de interés secundario,Primera preferencia para participar,
REG-213-JAME,Metropolitana de Santiago,,Masculino,Público,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,,Temática de interés secundario,,
REG-214-JABI,Biobío,,,,No Asistió,False,,,,Segunda preferencia para participar,Primera preferencia para participar,Temática de interés secundario,,,
REG-215-JAO',O'Higgins,,,,No Asistió,False,,,Primera preferencia para participar,,,,,,
REG-216-JAME,Metropolitana de Santiago,28.0,Masculino,Academia,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,,Temática de interés secundario,,
REG-217-JAME,Metropolitana de Santiago,,Femenino,Academia,Asistió,False,,,,,Primera preferencia para participar,Segunda preferencia para participar,,Temática de interés secundario,
REG-218-JAME,Metropolitana de Santiago,,,,No Asistió,False,,,,Segunda preferencia para participar,Temática de interés secundario,Primera preferencia para participar,,,
REG-219-JABI,Biobío,,,,No Asistió,False,,,,Primera preferencia para participar,,,Segunda preferencia para participar,,Temática de interés secundario
REG-220-JEME,Metropolitana de Santiago,38.0,Femenino,Público,Asistió,False,Primera preferencia para participar,,,,,Temática de interés secundario,,Segunda preferencia para participar,
REG-221-JEMA,Maule,,,,No Asistió,True,,,,,,,,,
REG-222-JEME,Metropolitana de Santiago,62.0,Femenino,Público,Asistió,False,,,,Primera preferencia para participar,Temática de interés secundario,,,,Segunda preferencia para participar
REG-223-JO,No especificada,30.0,Masculino,Privado,Asistió,False,,,,,,,,,
REG-224-JOME,Metropolitana de Santiago,43.0,Femenino,Público,Asistió,False,,,,,,Segunda preferencia para participar,Primera preferencia para participar,,Temática de interés secundario
REG-225-JOME,Metropolitana de Santiago,,,,No Asistió,False,Temática de interés secundario,,,Segunda preferencia para participar,,,,,Primera preferencia para participar
REG-226-JOO',O'Higgins,42.0,Masculino,Academia,Asistió,False,Segunda preferencia para participar,,Temática de interés secundario,,Primera preferencia para participar,,,,
REG-227-JOME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,Temática de interés secundario,,,,
REG-228-JO,No especificada,,,,No Asistió,False,,,,,,,,,
REG-229-JOME,Metropolitana de Santiago,18.0,Masculino,Privado,Asistió,False,,Segunda preferencia para participar,,,Primera preferencia para participar,,,Temática de interés secundario,
REG-230-JOME,Metropolitana de Santiago,54.0,Masculino,Academia,Asistió,True,,Primera preferencia para participar,,,Segunda preferencia para participar,Temática de interés secundario,,,
REG-231-JOME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,Temática de interés secundario,,,,,Primera preferencia para participar
REG-232-JOME,Metropolitana de Santiago,42.0,Masculino,Academia,Asistió,False,,,,,Primera preferencia para participar,,,,
REG-233-JOME,Metropolitana de Santiago,,Masculino,Privado,Asistió,False,,,Primera preferencia para participar,,Segunda preferencia para participar,,,,Temática de interés secundario
REG-234-JOME,Metropolitana de Santiago,75.0,Masculino,Academia,Asistió,False,,,,Temática de interés secundario,Primera preferencia para participar,,,,Segunda preferencia para participar
REG-235-JOME,Metropolitana de Santiago,52.0,Masculino,Sociedad civil,Asistió,False,,,Temática de interés secundario,,Segunda preferencia para participar,,,,Primera preferencia para participar
REG-236-JUME,Metropolitana de Santiago,,,,No Asistió,False,,,,Segunda preferencia para participar,,,Primera preferencia para participar,,Temática de interés secundario
REG-237-JUME,Metropolitana de Santiago,52.0,Masculino,Academia,Asistió,False,Primera preferencia para participar,,,Segunda preferencia para participar,,,,Temática de interés secundario,
REG-238-JUAY,Aysén,,,,No Asistió,False,Temática de interés secundario,,,,Primera preferencia para participar,,Segunda preferencia para participar,,
REG-239-JU,No especificada,,,,No Asistió,False,,,,,,,,,
REG-240-JUMA,Maule,,Masculino,Academia,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,,Temática de interés secundario,,
REG-241-JUMA,Magallanes,,,,No Asistió,False,,,,,Primera preferencia para participar,Segunda preferencia para participar,,Temática de interés secundario,
REG-242-JUVA,Valparaíso,54.0,Masculino,Academia,Asistió,False,,,,,Primera preferencia para participar,,,,
REG-243-JUME,Metropolitana de Santiago,57.0,Masculino,Academia,Asistió,False,,,,,,,Temática de interés secundario,Segunda preferencia para participar,Primera preferencia para participar
REG-244-JUMA,Magallanes,,Masculino,Academia,Asistió,False,,,,Temática de interés secundario,Segunda preferencia para participar,,,,Primera preferencia para participar
REG-245-JUME,Metropolitana de Santiago,,,,No Asistió,False,,,Temática de interés secundario,Segunda preferencia para participar,Primera preferencia para participar,,,,
REG-246-JU,No especificada,54.0,Masculino,Academia,Asistió,False,,,,,,,,,
REG-247-JUME,Metropolitana de Santiago,40.0,Femenino,Academia,Asistió,False,,,,Temática de interés secundario,,,,,Primera preferencia para participar
REG-248-JUME,Metropolitana de Santiago,,Femenino,Público,Asistió,False,,,,,,,,,
REG-249-JUME,Metropolitana de Santiago,36.0,Femenino,Privado,Asistió,False,,,Temática de interés secundario,Segunda preferencia para participar,Primera preferencia para participar,,,,
REG-250-JUME,Metropolitana de Santiago,,Masculino,Academia,Asistió,False,,,Primera preferencia para participar,Temática de interés secundario,,,,,Segunda preferencia para participar
REG-251-KAME,Metropolitana de Santiago,53.0,Femenino,Sociedad civil,Asistió,False,,,,,,,,,
REG-252-KAME,Metropolitana de Santiago,,,,No Asistió,False,,,,,,,,,
REG-253-KAAN,Antofagasta,,,,No Asistió,False,,,Segunda preferencia para participar,,,Primera preferencia para participar,,Temática de interés secundario,
REG-254-KAME,Metropolitana de Santiago,,,,No Asistió,False,,,Temática de interés secundario,Primera preferencia para participar,Segunda preferencia para participar,,,,
REG-255-KAME,Metropolitana de Santiago,,,,No Asistió,False,,,,Temática de interés secundario,,,Primera preferencia para participar,Segunda preferencia para participar,
REG-256-KALA,La Araucanía,,,,No Asistió,False,Segunda preferencia para participar,,,Temática de interés secundario,,,Primera preferencia para participar,,
REG-257-KAME,Metropolitana de Santiago,,,,No Asistió,False,Primera preferencia para participar,Temática de interés secundario,,,Segunda preferencia para participar,,,,
REG-258-LAME,Metropolitana de Santiago,40.0,Femenino,Academia,Asistió,False,,,,Temática de interés secundario,Segunda preferencia para participar,Primera preferencia para participar,,,
REG-259-LAME,Metropolitana de Santiago,32.0,Femenino,Academia,Asistió,False,,,,Temática de interés secundario,Primera preferencia para participar,,,,Segunda preferencia para participar
REG-260-LAME,Metropolitana de Santiago,44.0,Femenino,Academia,Asistió,False,,,Temática de interés secundario,Segunda preferencia para participar,,Primera preferencia para participar,,,
REG-261-LEME,Metropolitana de Santiago,28.0,Femenino,Academia,Asistió,False,Temática de interés secundario,,Primera preferencia para participar,Segunda preferencia para participar,,,,,
REG-262-LEME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,Temática de interés secundario,,,Primera preferencia para participar,,
REG-263-LEMA,Maule,35.0,Masculino,Academia,Asistió,False,Primera preferencia para participar,Segunda preferencia para participar,,,,,,,Temática de interés secundario
REG-264-LEME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,,,,,Temática de interés secundario,
REG-265-LEME,Metropolitana de Santiago,54.0,Femenino,Público,Asistió,False,,,,,,Segunda preferencia para participar,Temática de interés secundario,,Primera preferencia para participar
REG-266-LIME,Metropolitana de Santiago,,Femenino,Sociedad civil,Asistió,False,Segunda preferencia para participar,,,,Temática de interés secundario,,,Primera preferencia para participar,
REG-267-LIME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,,Segunda preferencia para participar,,,,Temática de interés secundario
REG-268-LOBI,Biobío,,Masculino,Academia,Asistió,True,,Primera preferencia para participar,Temática de interés secundario,,Segunda preferencia para participar,,,,
REG-269-LOME,Metropolitana de Santiago,,Femenino,Academia,Asistió,False,,,,,Primera preferencia para participar,,,,
REG-270-LUME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,,,,,Temática de interés secundario,Segunda preferencia para participar
REG-271-LUME,Metropolitana de Santiago,,,,No Asistió,False,,Temática de interés secundario,,,,Primera preferencia para participar,,Segunda preferencia para participar,
REG-272-MAME,Metropolitana de Santiago,41.0,Femenino,Público,Asistió,False,,,Temática de interés secundario,Segunda preferencia para participar,Primera preferencia para participar,,,,
REG-273-MABI,Biobío,53.0,Femenino,Academia,Asistió,False,,,Primera preferencia para participar,Temática de interés secundario,Segunda preferencia para participar,,,,
REG-274-MAME,Metropolitana de Santiago,37.0,Femenino,Academia,Asistió,False,Primera preferencia para participar,,,,,,Temática de interés secundario,Segunda preferencia para participar,
REG-275-MAME,Metropolitana de Santiago,32.0,Femenino,Público,Asistió,False,Primera preferencia para participar,,,,,Segunda preferencia para participar,,,Temática de interés secundario
REG-276-MAME,Metropolitana de Santiago,,,,No Asistió,False,,,,,,,,,Primera preferencia para participar
REG-277-MAME,Metropolitana de Santiago,56.0,Masculino,Academia,Asistió,False,Primera preferencia para participar,,Segunda preferencia para participar,Temática de interés secundario,,,,,
REG-278-MAME,Metropolitana de Santiago,43.0,Masculino,Academia,Asistió,False,,,Temática de interés secundario,Primera preferencia para participar,Segunda preferencia para participar,,,,
REG-279-MALO,Los Lagos,,,,No Asistió,False,Primera preferencia para participar,,,,Segunda preferencia para participar,,,Temática de interés secundario,
REG-280-MAME,Metropolitana de Santiago,,Femenino,Academia,Asistió,False,,,,,,,,,Primera preferencia para participar
REG-281-MAME,Metropolitana de Santiago,55.0,Femenino,Público,Asistió,False,,,,Primera preferencia para participar,,Temática de interés secundario,,,Segunda preferencia para participar
REG-282-MAME,Metropolitana de Santiago,,,,No Asistió,False,,,,,Temática de interés secundario,Segunda preferencia para participar,Primera preferencia para participar,,
REG-283-MACO,Coquimbo,41.0,Masculino,Academia,Asistió,False,,,,,Segunda preferencia para participar,,,Primera preferencia para participar,Temática de interés secundario
REG-284-MAME,Metropolitana de Santiago,,,,No Asistió,False,Primera preferencia para participar,,Segunda preferencia para participar,Temática de interés secundario,,,,,
REG-285-MAVA,Valparaíso,,Masculino,Otro,Asistió,True,,,Primera preferencia para participar,Segunda preferencia para participar,Temática de interés secundario,,,,
REG-286-MAME,Metropolitana de Santiago,65.0,Masculino,Academia,Asistió,False,Primera preferencia para participar,,Segunda preferencia para participar,,Temática de interés secundario,,,,
REG-287-MAME,Metropolitana de Santiago,,Masculino,Público,Asistió,True,,,,,Segunda preferencia para participar,Temática de interés secundario,Primera preferencia para participar,,
REG-288-MABI,Biobío,64.0,Masculino,Academia,Asistió,False,,,Primera preferencia para participar,,,Segunda preferencia para participar,,,Temática de interés secundario
REG-289-MAME,Metropolitana de Santiago,,Femenino,Privado,Asistió,False,,,,,,,,,
REG-290-MAME,Metropolitana de Santiago,,,,No Asistió,False,,,,,Primera preferencia para participar,,,Segunda preferencia para participar,
REG-291-MAME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,,,,,Temática de interés secundario,Segunda preferencia para participar
REG-292-MAME,Metropolitana de Santiago,49.0,Femenino,Academia,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,Temática de interés secundario,,
REG-293-MAME,Metropolitana de Santiago,59.0,Femenino,Academia,Asistió,False,,,Segunda preferencia para participar,,,,Primera preferencia para participar,,Temática de interés secundario
REG-294-MA,No especificada,,,,No Asistió,False,,,,,,,,,
REG-295-MAME,Metropolitana de Santiago,47.0,Femenino,Público,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,Temática de interés secundario,,,,
REG-296-MAME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,Temática de interés secundario,,,,
REG-297-MAME,Metropolitana de Santiago,,,,No Asistió,False,,,,Primera preferencia para participar,Segunda preferencia para participar,,Temática de interés secundario,,
REG-298-MAME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,,,Segunda preferencia para participar,,,Temática de interés secundario
REG-299-MAVA,Valparaíso,40.0,Femenino,Academia,Asistió,False,,,Primera preferencia para participar,,,Segunda preferencia para participar,,,Temática de interés secundario
REG-300-MAME,Metropolitana de Santiago,64.0,Femenino,Academia,Asistió,False,Primera preferencia para participar,,,,,,,,Segunda preferencia para participar
REG-301-MAME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,Temática de interés secundario,
REG-302-MAME,Metropolitana de Santiago,36.0,Femenino,Público,Asistió,True,,,,,Primera preferencia para participar,,,Temática de interés secundario,Segunda preferencia para participar
REG-303-MABI,Biobío,43.0,Femenino,Academia,Asistió,False,Segunda preferencia para participar,Primera preferencia para participar,,,,,Temática de interés secundario,,
REG-304-MAME,Metropolitana de Santiago,40.0,Femenino,Sociedad civil,Asistió,False,,,Segunda preferencia para participar,Temática de interés secundario,,,,,
REG-305-MAME,Metropolitana de Santiago,46.0,Femenino,Academia,Asistió,False,Segunda preferencia para participar,,Temática de interés secundario,,Primera preferencia para participar,,,,
REG-306-MAME,Metropolitana de Santiago,,,,No Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,Temática de interés secundario,,,
REG-307-MAME,Metropolitana de Santiago,,,,No Asistió,False,Primera preferencia para participar,Segunda preferencia para participar,Temática de interés secundario,,,,,,
REG-308-MAME,Metropolitana de Santiago,48.0,Femenino,Sociedad civil,Asistió,False,,,,Segunda preferencia para participar,Primera preferencia para participar,,,,Temática de interés secundario
REG-309-MABI,Biobío,35.0,Femenino,Academia,Asistió,False,,Temática de interés secundario,,,Primera preferencia para participar,,,Segunda preferencia para participar,
REG-310-MAVA,Valparaíso,,,,No Asistió,False,,,Primera preferencia para participar,,Segunda preferencia para participar,,,,
REG-311-MAVA,Valparaíso,,,,No Asistió,False,,,,,,,,,
REG-312-MAME,Metropolitana de Santiago,32.0,Masculino,Privado,Asistió,False,,,,Segunda preferencia para participar,,,Primera preferencia para participar,,
REG-313-MAME,Metropolitana de Santiago,29.0,Masculino,Academia,Asistió,False,,,Primera preferencia para participar,,Segunda preferencia para participar,,,,Temática de interés secundario
REG-314-MAO',O'Higgins,51.0,Masculino,Academia,Asistió,False,,Primera preferencia para participar,Temática de interés secundario,Segunda preferencia para participar,,,,,
REG-315-MAME,Metropolitana de Santiago,,,,No Asistió,False,,,,,,Segunda preferencia para participar,Primera preferencia para participar,Temática de interés secundario,
REG-316-MAME,Metropolitana de Santiago,35.0,Masculino,Público,Asistió,False,Primera preferencia para participar,,Temática de interés secundario,,,,Segunda preferencia para participar,,
REG-317-MAME,Metropolitana de Santiago,44.0,Femenino,Otro,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,,,,
REG-318-MEME,Metropolitana de Santiago,,Femenino,Público,Asistió,True,,,,,,,,,
REG-319-MIME,Metropolitana de Santiago,,,,No Asistió,False,,,,,,Primera preferencia para participar,Segunda preferencia para participar,,Temática de interés secundario
REG-320-MIVA,Valparaíso,62.0,Masculino,Academia,Asistió,False,,,,Primera preferencia para participar,Segunda preferencia para participar,,,,
REG-321-MIME,Metropolitana de Santiago,,,,No Asistió,False,,,Temática de interés secundario,Segunda preferencia para participar,,,,,Primera preferencia para participar
REG-322-MOME,Metropolitana de Santiago,47.0,Femenino,Público,Asistió,False,,,,Primera preferencia para participar,,Segunda preferencia para participar,,,Temática de interés secundario
REG-323-MOBI,Biobío,,Femenino,Academia,Asistió,False,,Primera preferencia para participar,Temática de interés secundario,,,Segunda preferencia para participar,,,
REG-324-MOME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,,Temática de interés secundario,,
REG-325-MUME,Metropolitana de Santiago,41.0,Femenino,Público,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,Temática de interés secundario,,,
REG-326-NAME,Metropolitana de Santiago,,,,No Asistió,False,,,,Primera preferencia para participar,,,,,Segunda preferencia para participar
REG-327-NAME,Metropolitana de Santiago,50.0,Femenino,Academia,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,,Temática de interés secundario
REG-328-NIME,Metropolitana de Santiago,40.0,Masculino,Academia,Asistió,False,Primera preferencia para participar,,Segunda preferencia para participar,Temática de interés secundario,,,,,
REG-329-NIBI,Biobío,,,,No Asistió,False,,,Segunda preferencia para participar,,,,,,
REG-330-NOME,Metropolitana de Santiago,,,,No Asistió,False,Temática de interés secundario,,,Segunda preferencia para participar,,Primera preferencia para participar,,,
REG-331-NOME,Metropolitana de Santiago,43.0,Femenino,Público,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,,,,,
REG-332-OCME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,Temática de interés secundario,,,Primera preferencia para participar,,
REG-333-OLME,Metropolitana de Santiago,,,,No Asistió,False,,,,,Primera preferencia para participar,,Segunda preferencia para participar,,
REG-334-OL,No especificada,,,,No Asistió,False,,,,,,,,,
REG-335-OSVA,Valparaíso,,Masculino,Sociedad civil,Asistió,False,,,,,,,,,
REG-336-OSME,Metropolitana de Santiago,47.0,Masculino,Público,Asistió,False,,,,,,,,,
REG-337-OSME,Metropolitana de Santiago,,,,No Asistió,False,,,Temática de interés secundario,,Segunda preferencia para participar,,,,Primera preferencia para participar
REG-338-PAME,Metropolitana de Santiago,40.0,Masculino,Privado,Asistió,False,,,Temática de interés secundario,,Segunda preferencia para participar,,,,Primera preferencia para participar
REG-339-PA,No especificada,39.0,Masculino,Academia,Asistió,False,,,,,,,,,
REG-340-PAME,Metropolitana de Santiago,,,,No Asistió,False,,,Segunda preferencia para participar,,Primera preferencia para participar,,,,
REG-341-PAME,Metropolitana de Santiago,,,,No Asistió,False,,,,,,,Segunda preferencia para participar,Temática de interés secundario,Primera preferencia para participar
REG-342-PABI,Biobío,,,,No Asistió,False,Segunda preferencia para participar,Primera preferencia para participar,,Temática de interés secundario,,,,,
REG-343-PABI,Biobío,49.0,Femenino,Academia,Asistió,False,,,Primera preferencia para participar,Temática de interés secundario,,,Segunda preferencia para participar,,
REG-344-PAME,Metropolitana de Santiago,,,,No Asistió,False,,,Temática de interés secundario,Primera preferencia para participar,,,,Segunda preferencia para participar,
REG-345-PAME,Metropolitana de Santiago,44.0,Femenino,Academia,Asistió,False,,,Primera preferencia para participar,,,Segunda preferencia para participar,Temática de interés secundario,,
REG-346-PAME,Metropolitana de Santiago,,Femenino,Otro,Asistió,True,,,,,,,Segunda preferencia para participar,,Primera preferencia para participar
REG-347-PAME,Metropolitana de Santiago,,Femenino,Público,Asistió,False,,,Segunda preferencia para participar,Primera preferencia para participar,,,,,
REG-348-PAME,Metropolitana de Santiago,42.0,Femenino,Sociedad civil,Asistió,False,,,Primera preferencia para participar,Segunda preferencia para participar,Temática de interés secundario,,,,
